DATE,GDPC1_PC1
1999-01-01,4.78843
2000-01-01,4.07759
2001-01-01,0.95554
2002-01-01,1.70044
2003-01-01,2.79561
2004-01-01,3.84777
2005-01-01,3.48355
2006-01-01,2.78453
2007-01-01,2.00386
2008-01-01,0.11358
2009-01-01,-2.57650
2010-01-01,2.69519
2011-01-01,1.56441
2012-01-01,2.28911
2013-01-01,2.11783
2014-01-01,2.52382
2015-01-01,2.94555
2016-01-01,1.81945
2017-01-01,2.45762
2018-01-01,2.96650
2019-01-01,2.58383
